Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
Northeast Secur,686,"324,100",0.01,NA
Sealand Securit,750,"740,740",0.01,NA
Unisplendour Co,938,"166,737",0.01,NA
Bharat Forge Lt,BHARATFORG,"466,382",0.01,NA
Bank of Nanjing,601009,"1,305,765",0.01,NA
Abu Dhabi Natio,ADNOCDIST,"4,608,458",0.01,NA
Guangzhou Haige,2465,"308,400",0.01,NA
HDC Hyundai Dev,294870,"87,737",0.01,NA
Man Wah Holding,1999,"2,854,853",0.01,NA
Zhongtai Securi,600918,"321,300",0.01,NA
Tongcheng-Elong,780,"1,562,918",0.01,NA
TVS Motor Co. L,TVSMOTOR,"370,487",0.01,NA
Huagong Tech Co,988,"177,859",0.01,NA
Turkiye Vakifla,VAKBN.E,"1,160,767",0.01,NA
Kagome Co. Ltd,2811,"148,125",0.01,NA
Shenzhen Gas Co,601139,"315,300",0.01,NA
IOOF Holdings L,IFL,"1,183,748",0.01,NA
StarPower Semic,603290,"18,700",0.01,NA
Shenzhen Hepali,9989,"257,236",0.01,NA
Sundrug Co. Ltd,9989,"120,970",0.01,NA
Shenghe Resourc,600392,"237,500",0.01,NA
OPC Energy Ltd,OPCE,"138,747",0.01,NA
Pharmaron Beiji,3759,"57,479",0.01,NA
Bank of Jiangsu,600919,"727,090",0.01,NA
Sembcorp Indust,U96,"1,650,902",0.01,NA
Sichuan Swellfu,600779,"64,700",0.01,NA
China National ,600511,"92,700",0.01,NA
Charoen Pokphan,CPF-F,"6,723,328",0.01,NA
GT Capital Hold,GTCAP,"183,938",0.01,NA
Shanghai Shibei,900902,"842,160",0.01,NA
Beijing Sanju E,300072,"292,200",0.01,NA
North Huajin Ch,59,"215,896",0.01,NA
Gulf Bank KSCP,GBK,"3,139,268",0.01,NA
Shanghai Bailia,600827,"215,000",0.01,NA
Sinopec Oilfiel,600871,"543,200",0.01,NA
Sime Darby Bhd,SIME,"6,507,705",0.01,NA
BinDawood Holdi,4161,"55,209",0.01,NA
Beijing Orient ,300166,"268,900",0.01,NA
Sieyuan Electri,2028,"101,500",0.01,NA
YTO Express Gro,600233,"338,600",0.01,NA
Lojas Americana,LAME3,"583,889",0.01,NA
Dubai Financial,DFM,"2,767,106",0.01,NA
China CSSC Hold,600150,"592,500",0.01,NA
Torrent Pharmac,TORNTPHARM,"91,604",0.01,NA
Honeywell Autom,HONAUT,"4,048",0.01,NA
Turkiye Sise ve,SISE.E,"2,744,476",0.01,NA
Bharat Heavy El,BHEL,"2,386,472",0.01,NA
Huatai Securiti,601688,"704,100",0.01,NA
Kuala Lumpur Ke,KLK,"885,300",0.01,NA
North Industrie,519,"103,700",0.01,NA
Yunnan Copper C,878,"197,000",0.01,NA
Toyo Tire Corp,5105,"188,458",0.01,NA
Noevir Holdings,4928,"26,388",0.01,NA
Guangxi Guiguan,600236,"387,200",0.01,NA
Shanxi Taigang ,825,"731,500",0.01,NA
Inspur Electron,977,"185,120",0.01,NA
LG Electronics ,66575,"32,795",0.01,NA
Hitachi Transpo,9086,"61,046",0.01,NA
Daio Paper Corp,3880,"147,800",0.01,NA
China Resources,1313,"4,099,958",0.01,NA
Tsingtao Brewer,600600,"91,811",0.01,NA
Johnson Electri,179,"640,643",0.01,NA
Taiwan Business,2834,"9,167,436",0.01,NA
Hyundai Heavy I,267250,"93,455",0.01,NA
Celltrion Pharm,68760,"34,399",0.01,NA
Kotobuki Spirit,2222,"34,437",0.01,NA
BYD Electronic ,285,"1,474,091",0.01,NA
Saudi Cement Co,3030,"141,737",0.01,NA
DB Insurance Co,5830,"84,122",0.01,NA
BBMG Corp,601992,"1,057,400",0.01,NA
Huaxin Cement C,900933,"558,269",0.01,NA
Iflytek Co. Ltd,2230,"340,300",0.01,NA
Shanghai Bairun,2568,"94,780",0.01,NA
Sri Trang Glove,STGT-F,"1,612,710",0.01,NA
Nishi-Nippon Ra,9031,"144,557",0.01,NA
China Merchants,601872,"1,047,676",0.01,NA
Altium Ltd,ALU,"208,739",0.01,0.00
NS Solutions Co,2327,"55,976",0.01,NA
Chugoku Bank Lt,8382,"307,772",0.01,NA
Japan Logistics,8967,"1,604",0.01,NA
Shanghai Electr,601727,"1,189,400",0.01,NA
Beijing-Shangha,601816,"1,271,490",0.01,NA
Fujitsu General,6755,"101,947",0.01,NA
Cementos Argos ,PFCEMARGOS,"105,809",0.01,NA
FP Corp,7947,"83,003",0.01,NA
Embotelladora A,ANDINA-B,"687,024",0.01,NA
Taiji Computer ,2368,"73,298",0.01,NA
Air China Ltd,601111,"498,226",0.01,NA
Jiayuan Interna,2768,"1,960,382",0.01,NA
Metallurgical C,1618,"6,742,030",0.01,NA
Qualitas Contro,Q,"296,549",0.01,NA
Guangdong Haid ,2311,"212,900",0.01,NA
China Shenhua E,601088,"480,656",0.01,NA
Fosun Internati,656,"4,124,788",0.01,NA
Jinke Propertie,656,"684,000",0.01,NA
Shanghai Junshi,688180,"28,009",0.01,NA
Daewoo Engineer,47040,"333,310",0.01,NA
Gan & Lee Pharm,603087,"25,500",0.01,NA
Yunnan Baiyao G,538,"148,000",0.01,NA
Beijing Capital,600008,"968,890",0.01,NA
Angel Yeast Co,600298,"105,900",0.01,NA
Guangxi Wuzhou ,600252,"372,600",0.01,NA
Jason Furniture,603816,"69,400",0.01,NA
Shenzhen Goodix,603160,"24,666",0.01,NA
Sotetsu Holding,9003,"146,899",0.01,NA
Shenzhen Yan Ti,88,"283,100",0.01,NA
Sims Ltd,SGM,"307,221",0.01,0.00
BNK Financial G,138930,"542,178",0.01,NA
Pan Ocean Co. L,28670,"335,486",0.01,NA
Sistema PJSFC,SSA,"185,097",0.01,NA
Shanghai Zhenhu,900947,"1,844,864",0.01,NA
Shandong Sun Pa,2078,"313,600",0.01,NA
FAW Jiefang Gro,800,"292,500",0.01,NA
Cadila Healthca,CADILAHC,"455,431",0.01,NA
Sumitomo Forest,1911,"250,170",0.01,NA
By-health Co. L,300146,"207,366",0.01,NA
Hisamitsu Pharm,4530,"133,496",0.01,NA
Chongqing Brewe,600132,"63,100",0.01,NA
Shougang Fushan,639,"6,200,303",0.01,NA
SPAR Group Ltd,SPP,"361,469",0.01,NA
Toda Corp,1860,"435,959",0.01,NA
Alfresa Holding,2784,"315,813",0.01,NA
Weihai Guangwei,300699,"62,200",0.01,NA
Turk Telekomuni,TTKOM.E,"883,304",0.01,NA
Bic Camera Inc,3048,"258,089",0.01,NA
Dairy Farm Inte,D01,"565,514",0.01,NA
Grupo Lala SAB ,LALAB,"829,600",0.01,NA
Locaweb Servico,LWSA3,"797,200",0.01,NA
Bluefocus Intel,300058,"324,300",0.01,NA
NHN Corp,181710,"27,282",0.01,NA
Smartfren Telec,FREN,"175,820,700",0.01,NA
SK Chemicals Co,285130,"16,789",0.01,NA
Beijing Yanjing,729,"380,500",0.01,NA
CPFL Energia SA,CPFE3,"340,900",0.01,NA
Zhejiang Centur,2602,"1,309,507",0.01,NA
Energix-Renewab,ENRG,"341,758",0.01,NA
Odontoprev SA,ODPV3,"486,800",0.01,NA
Taiwan Secom Co,9917,"540,725",0.01,NA
Central Pattana,CPN-R,500,0.01,NA
Jonjee Hi-Tech ,600872,"104,394",0.01,NA
SMS Co. Ltd,2175,"93,299",0.01,NA
Seera Group Hol,1810,"284,213",0.01,NA
Zhejiang Supor ,2032,"60,776",0.01,NA
Nichirei Corp,2871,"198,020",0.01,NA
Saudi Research ,4210,"59,651",0.01,NA
JCR Pharmaceuti,4552,"101,216",0.01,NA
Genting Malaysi,GENM,"5,239,700",0.01,0.00
Huadong Medicin,963,"227,800",0.01,NA
Boubyan Bank KS,BOUBYAN,"1,798,012",0.01,NA
Hartalega Holdi,HARTA,"2,808,200",0.01,NA
Maccura Biotech,300463,"55,900",0.01,NA
Osotspa PCL,OSP-F,"2,721,791",0.01,NA
Banco del Bajio,BBAJIOO,"1,271,900",0.01,NA
Zhongji Innolig,300308,"87,198",0.01,NA
Infratil Ltd,IFT,"952,813",0.01,NA
Zhejiang Huayou,603799,"158,500",0.01,NA
Momentum Metrop,MTM,"1,887,074",0.01,NA
TravelSky Techn,696,"1,744,759",0.01,NA
Korea Investmen,71050,"71,724",0.01,NA
Alpargatas SA,ALPA4,"317,100",0.01,NA
Mobile Telecomm,7030,"802,957",0.01,NA
Red Star Macall,601828,"107,580",0.01,NA
Interconexion E,ISA,"814,334",0.01,NA
SillaJen Inc,215600,"94,185",0.01,NA
China Eastern A,600115,"872,329",0.01,NA
Daiwa Office In,8976,505,0.01,NA
Hualan Biologic,2007,"233,464",0.01,NA
Matsui Securiti,8628,"183,121",0.01,NA
Melco Internati,200,"1,412,675",0.01,NA
Guangzhou Baiyu,874,"414,620",0.01,NA
Addsino Co. Ltd,547,"205,500",0.01,NA
Kinnevik AB,KINV,"21,632",0.01,NA
BOE Technology ,725,"2,738,200",0.01,NA
Dawning Informa,603019,"189,300",0.01,NA
Huafa Industria,600325,"246,900",0.01,NA
SKYCITY Enterta,SKC,"1,401,360",0.01,NA
Hyundai Departm,69960,"27,501",0.01,NA
Hubei Energy Gr,883,"842,208",0.01,NA
Microport Scien,853,"894,274",0.01,NA
Appen Ltd,APX,"202,402",0.01,NA
Guangzhou Yuexi,987,"219,915",0.01,NA
Maxscend Microe,300782,"38,580",0.01,NA
Nagase & Co. Lt,8012,"196,541",0.01,NA
COSCO SHIPPING ,2866,"6,221,713",0.01,NA
Chongqing Zhife,300122,"163,900",0.01,NA
Mebuki Financia,7167,"1,760,273",0.01,NA
Mabuchi Motor C,6592,"91,895",0.01,NA
China Merchants,1872,"48,600",0.01,NA
Hypera SA,HYPE3,"736,559",0.01,NA
Hang Lung Group,10,"1,630,040",0.01,NA
Industrial Secu,601377,"873,700",0.01,NA
China Meidong A,1268,"790,000",0.01,NA
Beijing Shunxin,860,"94,995",0.01,NA
Harmony Gold Mi,HAR,"986,495",0.01,0.00
Yantai Jereh Oi,2353,"124,197",0.01,NA
Acer Inc,2353,"5,430,396",0.01,NA
TV Asahi Holdin,9409,"24,883",0.01,NA
Winning Health ,300253,"276,380",0.01,NA
People.cn Co. L,603000,"155,681",0.01,NA
Yamaguchi Finan,8418,"430,157",0.01,NA
Via S/A,VIIA3,"2,901,688",0.01,NA
RiseSun Real Es,2146,"527,066",0.01,NA
Bosideng Intern,3998,"4,810,931",0.01,NA
China Travel In,308,"4,636,794",0.01,NA
Nippon Televisi,9404,"29,651",0.01,NA
Raytron Technol,688002,"57,119",0.01,NA
Shenzhen Airpor,89,"248,800",0.01,NA
O2 Czech Republ,TELEC,"69,921",0.01,NA
Beijing Dabeino,2385,"536,800",0.01,NA
Chicony Electro,2385,"1,168,337",0.01,NA
Hangzhou Tigerm,3347,"221,743",0.01,NA
Manila Electric,MER,"492,458",0.01,NA
Beijing E-Hualu,300212,"109,600",0.01,NA
Royal Bafokeng ,RBP,"310,018",0.01,NA
Hyundai Glovis ,86280,"34,730",0.01,NA
Zeon Corp,4205,"268,453",0.01,NA
Chongqing Chang,625,"750,200",0.01,NA
Yuexiu Property,123,"2,346,965",0.01,NA
Park24 Co. Ltd,4666,"203,989",0.01,NA
Muyuan Foods Co,2714,"649,237",0.01,NA
Kumho Petrochem,11780,"32,571",0.01,NA
Guangzhou Zhuji,2461,"218,100",0.01,NA
Tatneft PJSC,TATN,"470,953",0.01,NA
Banque Cantonal,BCVN,"49,793",0.01,NA
DWS Group GmbH ,DWS,"62,429",0.01,NA
National Silico,688126,"226,790",0.01,NA
Suning Universa,718,"420,023",0.01,NA
Shanghai Mechan,900925,"494,438",0.01,NA
Weifu High-Tech,200581,"347,462",0.01,NA
Mori Hills REIT,3234,"2,934",0.01,NA
Bank of Baroda,BANKBARODA,"1,917,638",0.01,NA
Opple Lighting ,603515,"47,874",0.01,NA
Westports Holdi,WPRTS,"1,912,696",0.01,NA
Chaozhou Three-,300408,"240,500",0.01,NA
Nestle Malaysia,NESTLE,"117,200",0.01,NA
Emaar Economic ,4220,"747,704",0.01,NA
Shanghai Putail,603659,"88,840",0.01,NA
Logan Group Co,3380,"1,911,821",0.01,NA
Jiangsu Yangnon,600486,"39,500",0.01,NA
Media Nusantara,MNCN,"8,802,166",0.01,NA
Jinke Smart Ser,9666,"280,200",0.01,NA
Anhui Gujing Di,596,"45,188",0.01,NA
Mitsui Mining &,5706,"98,745",0.01,NA
Autel Intellige,688208,"18,295",0.01,NA
China Merchants,6099,"2,271,713",0.01,NA
Blue Sail Medic,2382,"99,100",0.01,NA
Sunwoda Electro,300207,"210,900",0.01,NA
Tonghua Dongbao,600867,"266,977",0.01,NA
Bank of Hangzho,600926,"735,435",0.01,NA
Guolian Securit,601456,"212,300",0.01,NA
Pingdingshan Ti,601666,"296,900",0.01,NA
Zhejiang Satell,2648,"216,440",0.01,NA
Gemdale Corp,600383,"578,200",0.01,NA
Lotte Corp,4990,"48,015",0.01,NA
Skshu Paint Co,603737,"43,120",0.01,NA
BR Malls Partic,BRML3,"1,556,578",0.01,NA
Asset World Cor,AWC-F,"13,585,008",0.01,NA
Leo Group Co. L,2131,"873,400",0.01,NA
Shanghai Fosun ,600196,"238,915",0.01,NA
Hubei Biocause ,627,"476,932",0.01,NA
CanSino Biologi,688185,"11,970",0.01,NA
Camel Group Co,601311,"148,270",0.01,NA
Central Retail ,CRC-F,"3,543,997",0.01,NA
Scatec ASA,SCATC,"219,869",0.01,NA
IRPC PCL,IRPC-F,"19,107,389",0.01,NA
Lakala Payment ,300773,"37,800",0.01,NA
Hunan Gold Corp,2155,"180,700",0.01,NA
Red Star Macall,1528,"1,255,882",0.01,NA
Cia Paranaense ,CPLE3,"527,080",0.01,NA
China Merchants,144,"2,600,229",0.01,NA
E-MART Inc,139480,"36,751",0.01,NA
Controladora Vu,VOLARA,"1,697,000",0.01,NA
ASKUL Corp,2678,"73,422",0.01,NA
Hongfa Technolo,600885,"97,300",0.01,NA
Zijin Mining Gr,601899,"2,683,674",0.01,NA
FIT Hon Teng Lt,6088,"2,102,242",0.01,NA
Aditya Birla Ca,ABCAPITAL,"953,912",0.01,NA
Bank of India,BANKINDIA,"657,868",0.01,NA
CNOOC Energy Te,600968,"872,200",0.01,NA
Astra Agro Lest,AALI,"680,225",0.01,NA
Xiamen Intretec,2925,"26,180",0.01,NA
China Merchants,600999,"947,567",0.01,NA
Kusuri no Aoki ,3549,"28,190",0.01,NA
Inner Mongolia ,600010,"5,104,725",0.01,NA
Tianfeng Securi,601162,"1,154,280",0.01,NA
Yutong Bus Co. ,600066,"284,400",0.01,NA
UnipolSai Assic,US,"793,574",0.01,NA
Srisawad Corp. ,SAWAD-F,"1,093,704",0.01,NA
Hong Leong Fina,HLFG,"411,035",0.01,NA
Kamigumi Co. Lt,9364,"182,703",0.01,NA
Fuji Kyuko Co. ,9010,"41,300",0.01,NA
Korea Aerospace,47810,"120,323",0.01,NA
Medytox Inc,86900,"8,177",0.01,NA
China Great Wal,2939,"309,000",0.01,NA
Iskenderun Demi,ISDMR.E,"273,450",0.01,NA
JiuGui Liquor C,799,"41,400",0.01,NA
CITIC Guoan Inf,839,"517,200",0.01,NA
BTG Hotels Grou,600258,"130,297",0.01,NA
Domain Holdings,DHG,"195,447",0.01,0.00
SHIFT Inc,3697,"20,000",0.01,NA
China United Ne,600050,"3,543,700",0.01,NA
Shaanxi Coal In,601225,"939,200",0.01,NA
Tongwei Co. Ltd,600438,"583,700",0.01,NA
Siam Commercial,SCB-R,"1,230,600",0.01,NA
China Minsheng ,600016,"2,991,300",0.01,NA
Electric Power ,9513,"313,006",0.01,NA
Braskem SA,BRKM5,"224,200",0.01,NA
Lingyi iTech Gu,2600,"966,500",0.01,NA
Topchoice Medic,600763,"41,278",0.01,NA
RBL Bank Ltd,RBLBANK,"842,759",0.01,NA
Shimamura Co. L,8227,"40,267",0.01,NA
Yes Bank Ltd,YESBANK,"2,544,587",0.01,NA
Beijing Originw,300070,"415,200",0.01,NA
China Aoyuan Gr,3883,"2,295,786",0.01,NA
NHK Spring Co. ,5991,"287,086",0.01,NA
Everbright Secu,6178,"398,870",0.01,NA
Aurobindo Pharm,AUROPHARMA,"489,341",0.01,NA
Atacadao SA,CRFB3,"481,012",0.01,NA
People's Insura,1339,"15,493,882",0.01,NA
Jiangxi Zhengba,2157,"381,181",0.01,NA
Airport City Lt,ARPT,"129,487",0.01,NA
SAIC Motor Corp,600104,"1,271,521",0.01,NA
Fielmann AG,FIE,"43,738",0.01,NA
China Northern ,600111,"476,100",0.01,NA
Hanssem Co. Ltd,9240,"17,980",0.01,NA
China Resources,999,"132,100",0.01,NA
Deterra Royalti,DRR,"756,601",0.01,0.00
Saudi Ground Se,4031,"167,883",0.01,NA
Krungthai Card ,KTC-F,"2,127,021",0.01,NA
Guoyuan Securit,728,"546,000",0.01,NA
Japan Hotel REI,8985,"8,138",0.01,NA
Raspadskaya OJS,RASP,"120,950",0.01,NA
Industrias Bach,BACHOCOB,"290,320",0.01,NA
Tangshan Sanyou,600409,"263,100",0.01,NA
Amano Corp,6436,"125,650",0.01,NA
Sangfor Technol,300454,"23,400",0.01,NA
Aica Kogyo Co. ,4206,"97,362",0.01,NA
Orient Securiti,600958,"693,092",0.01,NA
ENNOSTAR Inc,3714,"915,000",0.01,NA
Shenzhen Kingdo,600446,"295,891",0.01,NA
Indocement Tung,INTP,"2,371,098",0.01,NA
WUS Printed Cir,2463,"240,570",0.01,NA
Megacable Holdi,MEGACPO,"543,295",0.01,NA
Wacker Chemie A,WCH,"27,992",0.01,NA
Shenergy Co. Lt,600642,"650,000",0.01,NA
China CITIC Ban,601998,"774,835",0.01,NA
MISC Bhd,MISC,"3,171,035",0.01,NA
Jinduicheng Mol,601958,"406,300",0.01,NA
Lotte Chilsung ,5300,"6,163",0.01,NA
Inter RAO UES P,IRAO,"66,374,300",0.01,NA
Jiangling Motor,550,"37,254",0.01,NA
Hanwha Life Ins,88350,"512,180",0.01,NA
NOK Corp,7240,"214,539",0.01,NA
Dah Sing Financ,440,"253,449",0.01,NA
Oneness Biotech,4743,"554,000",0.01,NA
Tokai Rika Co. ,6995,"89,984",0.01,NA
Seazen Group Lt,1030,"3,676,565",0.01,NA
El Puerto de Li,LIVEPOLC-1,"356,795",0.01,NA
GD Power Develo,600795,"2,361,796",0.01,NA
Netcare Ltd,NTC,"2,662,354",0.01,0.00
Singapore Post ,S08,"2,762,252",0.01,NA
Arabian Centres,4321,"291,544",0.01,NA
DL Holdings Co,210,"23,784",0.01,NA
Nippon Electric,5214,"150,779",0.01,NA
Bangkok Bank PC,BBL-F,"443,302",0.01,NA
Orient Securiti,3958,"1,738,835",0.01,NA
Imerys SA,NK,"71,094",0.01,87.26
Mango Excellent,300413,"227,529",0.01,NA
Supermax Corp. ,SUPERMX,"2,917,900",0.01,NA
Cencosud SA,CENCOSUD,"2,474,211",0.01,NA
Weifu High-Tech,581,"60,600",0.01,NA
Becle SAB de CV,CUERVO,"991,059",0.01,NA
Coronation Fund,CML,"452,008",0.01,NA
JCET Group Co. ,600584,"238,700",0.01,NA
Exxaro Resource,EXX,"463,363",0.01,NA
Ezaki Glico Co,2206,"94,818",0.01,NA
Hindustan Zinc ,HINDZINC,"431,442",0.01,NA
Zheshang Securi,601878,"151,100",0.01,NA
Mitsubishi Logi,9301,"117,774",0.01,NA
Keihan Holdings,9045,"183,235",0.01,NA
Star Entertainm,SGR,"1,593,026",0.01,NA
COSCO SHIPPING ,1138,"2,185,306",0.01,NA
NanJi E-Commerc,2127,"314,099",0.01,NA
Akeso Inc,9926,"890,000",0.01,NA
Jiangsu Zhongti,600522,"387,300",0.01,NA
Yulon Nissan Mo,2227,"41,000",0.01,NA
Enel Chile SA,ENELCHILE,"30,780,956",0.01,NA
Hangzhou Binjia,2244,"386,600",0.01,NA
Shenzhen YUTO P,2831,"81,000",0.01,NA
Redefine Proper,RDF,"10,309,981",0.01,NA
NARI Technology,600406,"716,080",0.01,NA
Shanghai Flyco ,603868,"24,566",0.01,NA
Guangzhou R&F P,2777,"3,009,421",0.01,NA
HengTen Network,136,"4,343,840",0.01,NA
3M India Ltd,3MINDIA,"5,231",0.01,NA
OBI Pharma Inc,4174,"293,790",0.01,NA
Ningbo Sanxing ,601567,"149,500",0.01,NA
K's Holdings Co,8282,"300,533",0.01,NA
Fukuyama Transp,9075,"56,372",0.01,NA
China Vanke Co,2,"1,028,600",0.01,NA
Hefei Meiya Opt,2690,"73,700",0.01,NA
Tianjin Chase S,300026,"385,500",0.01,NA
Sinolink Securi,600109,"391,100",0.01,NA
Aker ASA,AKER,"43,707",0.01,-10.83
Guangshen Railw,601333,"505,300",0.01,NA
Laobaixing Phar,603883,"48,160",0.01,NA
Three Squirrels,300783,"18,000",0.01,NA
TongFu Microele,2156,"181,000",0.01,NA
Fortress REIT L,FFB,"1,449,035",0.01,NA
Yanlord Land Gr,Z25,"1,215,087",0.01,NA
Nippon Life Ind,NAM-INDIA,"264,078",0.01,NA
Samsung Heavy I,10140,"805,094",0.01,NA
Nipro Corp,8086,"213,366",0.01,NA
Pangang Group V,629,"1,071,700",0.01,NA
Shandong Humon ,2237,"119,200",0.01,NA
Sun TV Network ,SUNTV,"181,693",0.01,NA
Kaken Pharmaceu,4521,"60,444",0.01,NA
Hongta Securiti,601236,"219,830",0.01,NA
Seven Group Hol,SVW,"262,100",0.01,NA
Mirae Asset Sec,6800,"654,787",0.01,NA
Ratch Group PCL,RATCH-F,"1,560,528",0.01,NA
China Meheco Co,600056,"144,800",0.01,NA
Hytera Communic,2583,"316,800",0.01,NA
Yamazaki Baking,2212,"230,470",0.01,NA
Topsec Technolo,2212,"127,000",0.01,NA
EURAZEO SE (Loy,N/A,"54,926",0.01,NA
SEB SA,N/A,"36,167",0.01,NA
HANERGY THIN FI,N/A,"14,742,000",0.01,NA
SEB SA,N/A,"1,260",0.01,NA
Sodexo SA,N/A,"38,129",0.01,NA
Brightoil Petro,N/A,"3,241,567",0.01,NA
BGP HOLDINGS PL,N/A,"3,738,510",0.01,NA
CHINA HUISHAN D,N/A,"5,503,795",0.01,NA
Tianhe Chemical,N/A,"3,538,329",0.01,NA
Shenzhen New In,300832,"31,883",0.01,NA
Shanghai Constr,600170,"851,600",0.01,NA
Mabanee Co. KPS,MABANEE,"1,037,703",0.01,NA
XL Axiata Tbk P,EXCL,"6,217,150",0.01,0.00
Pigeon Corp,7956,"201,982",0.01,NA
Indian Railway ,IRCTC,"96,135",0.01,NA
L&T Finance Hol,L&TFH,"1,634,811",0.01,NA
Guanghui Energy,600256,"916,800",0.01,NA
Glarun Technolo,600562,"159,000",0.01,NA
Xiangcai Co. Lt,600095,"182,700",0.01,NA
Sinosoft Co. Lt,603927,"91,993",0.01,NA
Ichigo Inc,2337,"329,955",0.01,NA
Ingenic Semicon,300223,"50,200",0.01,NA
Telefonica Bras,VIVT3,"593,295",0.01,NA
DL E&C Co. Ltd,375500,"28,328",0.01,NA
Morinaga Milk I,2264,"74,237",0.01,NA
Xinfengming Gro,603225,"81,300",0.01,NA
Banco Pan SA,BPAN4,"544,200",0.01,NA
Jinneng Holding,767,"342,000",0.01,NA
Swire Pacific L,87,"1,666,088",0.01,NA
Montnets Cloud ,2123,"155,700",0.01,NA
Synnex Technolo,2347,"2,577,889",0.01,NA
Luolai Lifestyl,2293,"100,800",0.01,NA
Hygeia Healthca,6078,"545,267",0.01,NA
Qingdao Port In,6198,"476,433",0.01,NA
SCSK Corp,9719,"233,709",0.01,NA
Boya Bio-pharma,300294,"56,006",0.01,NA
Cyrela Brazil R,CYRE3,"516,200",0.01,NA
Shanghai Junshi,1877,"331,343",0.01,NA
BOC Internation,601696,"127,700",0.01,NA
HTC Corp,2498,"1,442,570",0.01,NA
Qingdao Hanhe C,2498,"139,900",0.01,NA
GCL System Inte,2506,"775,900",0.01,NA
Centrais Eletri,ELET6,"547,776",0.01,NA
AU Small Financ,AUBANK,"283,132",0.01,NA
China State Con,601668,"5,427,429",0.01,NA
Hutchison Port ,NS8U,"9,409,363",0.01,NA
Anhui Zhongding,887,"167,600",0.01,NA
Maeda Road Cons,1883,"60,736",0.01,NA
Enka Insaat ve ,ENKAI.E,"1,257,961",0.01,NA
Cafe de Coral H,341,"586,419",0.01,NA
China Railway G,390,"7,560,299",0.01,NA
Electra Ltd./Is,ELTR,"3,179",0.01,NA
Beijing Kingsof,688111,"63,425",0.01,NA
Indian Railway ,IRFC,"3,249,187",0.01,NA
Xinxing Ductile,778,"546,300",0.01,NA
Hankook Tire & ,161390,"137,222",0.01,NA
Usinas Siderurg,USIM3,"312,400",0.01,NA
Focus Media Inf,2027,"1,929,600",0.01,NA
Green Cross Cor,6280,"10,132",0.01,NA
Cia Sud America,VAPORES,"32,821,680",0.01,NA
Barloworld Ltd,BAW,"353,454",0.01,NA
Walsin Technolo,2492,"931,000",0.01,NA
Bank of Suzhou ,2966,"144,000",0.01,NA
Xinjiang Goldwi,2208,"1,418,261",0.01,NA
Nanjing Iron & ,600282,"697,400",0.01,NA
Siemens Ltd,SIEMENS,"160,477",0.01,NA
HAP Seng Consol,HAPSENG,"1,211,400",0.01,NA
Zhejiang Chint ,601877,"166,993",0.01,NA
Yifeng Pharmacy,603939,"94,771",0.01,NA
Yapi ve Kredi B,YKBNK.E,"2,717,184",0.01,NA
Fujian Funeng C,600483,"155,800",0.01,NA
Shandong Linglo,601966,"110,700",0.01,NA
Gillette India ,GILLETTE,"13,938",0.01,NA
PALTAC Corp,8283,"57,260",0.01,NA
Imeik Technolog,300896,"21,800",0.01,NA
Greattown Holdi,600094,"241,500",0.01,NA
Petronet LNG Lt,PETRONET,"1,397,398",0.01,NA
Shenzhen Capche,300037,"52,300",0.01,NA
Teco Electric a,1504,"3,733,000",0.01,NA
Maanshan Iron &,323,"296,000",0.01,NA
Shanxi Securiti,2500,"455,390",0.01,NA
Shanghai Lujiaz,600663,"108,472",0.01,NA
Shenwan Hongyua,166,"3,328,731",0.01,NA
Orion Corp./Rep,271560,"40,913",0.01,NA
KWG Group Holdi,1813,"2,332,832",0.01,NA
Tianjin Zhonghu,2129,"403,700",0.01,NA
Yanbu Cement Co,3060,"140,916",0.01,NA
Shenzhen Huaqia,62,"124,300",0.01,NA
InterGlobe Avia,INDIGO,"179,481",0.01,NA
Fleury SA,FLRY3,"426,218",0.01,NA
Huaneng Power I,600011,"445,200",0.01,NA
Turkiye Halk Ba,HALKB.E,"1,106,418",0.01,NA
Mosenergo PJSC,MSNG,"17,082,000",0.01,NA
Varta AG,VAR1,"26,228",0.01,NA
COSCO SHIPPING ,601866,"1,224,040",0.01,NA
Cia de Transmis,TRPL4,"361,196",0.01,NA
Cheng Shin Rubb,2105,"3,446,222",0.01,NA
Ain Holdings In,9627,"51,512",0.01,NA
Takara Holdings,2531,"318,280",0.01,NA
Sanan Optoelect,600703,"599,000",0.01,NA
AviChina Indust,2357,"4,479,567",0.01,NA
Hite Jinro Co. ,80,"55,086",0.01,NA
Nankai Electric,9044,"207,838",0.01,NA
Inmyshow Digita,600556,"170,900",0.01,NA
Mitsui Fudosan ,3471,936,0.01,NA
Melisron Ltd,MLSR,"32,243",0.01,NA
Credit Bank of ,CBOM,"22,920,900",0.01,NA
Sanwa Holdings ,5929,"361,372",0.01,NA
Huadian Power I,1071,"3,353,550",0.01,NA
Zhejiang NHU Co,2001,"331,440",0.01,NA
Mirae Asset Sec,00680K,"245,078",0.01,NA
Sunac Services ,1516,"998,266",0.01,NA
Shan Xi Hua Yan,600348,"330,800",0.01,NA
Union Bank of I,UNIONBANK,"1,015,425",0.01,NA
Yunda Holding C,2120,"167,770",0.01,NA
CJ CheilJedang ,97955,"1,095",0.01,NA
GrandVision NV,GVNV,"88,648",0.01,NA
Shandong Nansha,600219,"1,523,300",0.01,NA
China National ,200028,"212,045",0.01,NA
