Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
Oversea-Chinese,O39,"6,575,602",0.10,NA
Wolters Kluwer ,WKL,"491,196",0.10,NA
Kone Oyj,KNEBV,"734,853",0.10,NA
Central Japan R,9022,"339,597",0.10,NA
Kao Corp,4452,"863,783",0.10,NA
Hexagon AB,HEXA,"3,342,329",0.10,NA
Legrand SA,LR,"502,668",0.10,NA
Novatek PJSC,NVTK,"1,995,332",0.10,NA
Denso Corp,6902,"850,284",0.10,NA
Bridgestone Cor,5108,"1,078,402",0.10,NA
Mitsubishi Elec,6503,"3,695,226",0.10,NA
Goodman Group,GMG,"3,402,502",0.10,NA
STMicroelectron,STM Quick QuoteSTM,"1,186,838",0.10,11.47
Merck KGaA,MRK Quick QuoteMRK,"242,349",0.10,-3.01
Amadeus IT Grou,AMS Quick QuoteAMS,"800,079",0.10,-14.62
UniCredit SPA,UCG,"4,074,594",0.10,NA
National Bank o,NA,"626,705",0.09,NA
Evolution AB,EVO Quick QuoteEVO,"301,303",0.09,13.06
KBC Group NV,KBC,"516,671",0.09,NA
Techtronic Indu,669,"2,337,274",0.09,NA
Orsted AS,ORSTED,"351,890",0.09,NA
Kweichow Moutai,600519,"164,825",0.09,NA
Kakao Corp,35720,"500,789",0.09,NA
E.ON SE,EOAN,"4,053,780",0.09,NA
Saudi Arabian O,2222,"4,762,032",0.09,NA
Deutsche Bank A,DBK,"3,820,731",0.09,NA
Sampo Oyj,SAMPO,"944,572",0.09,NA
Geberit AG,GEBN,"63,745",0.09,NA
BYD Co. Ltd,1211,"1,469,655",0.09,NA
LUKOIL PJSC,LKOD,"509,946",0.09,NA
Swiss Re AG,SREN,"539,384",0.09,0.00
East Japan Rail,9020,"676,319",0.09,NA
Li Ning Co. Ltd,2331,"4,018,628",0.09,NA
Canon Inc,7751,"1,861,640",0.09,NA
Societe General,GLE,"1,450,882",0.09,NA
Bajaj Finance L,BAJFINANCE,"438,629",0.09,NA
Shiseido Co. Lt,4911,"725,784",0.09,NA
America Movil S,AMXL,"55,703,293",0.09,NA
Panasonic Corp,6752,"3,982,684",0.09,NA
Assa Abloy AB,ASSA,"1,714,163",0.09,NA
BAE Systems plc,BA,"6,099,491",0.09,NA
Rio Tinto Ltd,RIO Quick QuoteRIO,"696,242",0.09,-10.06
Tesco plc,TSCO Quick QuoteTSCO,"14,333,781",0.09,34.61
Heineken NV,HEIA,"442,311",0.09,NA
Franco-Nevada C,FNV Quick QuoteFNV,"355,406",0.09,4.66
Genmab A/S,GMAB Quick QuoteGMAB,"111,463",0.09,-22.56
Cie Generale de,ML Quick QuoteML,"326,996",0.09,-78.04
Ferrari NV,RACE Quick QuoteRACE,"227,879",0.09,8.73
Sandvik AB,SAND Quick QuoteSAND,"2,009,767",0.09,-10.92
Air Liquide SA,AI Quick QuoteAI,"308,241",0.09,-80.63
Equinor ASA,EQNR Quick QuoteEQNR,"1,805,065",0.09,41.94
United Overseas,U11,"2,426,912",0.09,NA
Neste Oyj,NESTE,"776,320",0.08,NA
DNB Bank ASA,DNB Quick QuoteDNB,"1,923,290",0.08,-19.86
National Bank o,NBK,"12,846,014",0.08,NA
Komatsu Ltd,6301,"1,712,709",0.08,NA
Celltrion Inc,68270,"196,464",0.08,NA
Olympus Corp,7733,"1,972,579",0.08,NA
Shimano Inc,7309,"146,860",0.08,NA
Fubon Financial,2881,"15,119,447",0.08,NA
Barrick Gold Co,ABX,"2,264,985",0.08,NA
Credit Suisse G,CSGN,"4,477,391",0.08,NA
SSE plc,SSE,"1,955,234",0.08,NA
Mitsui Fudosan ,8801,"1,726,885",0.08,NA
ORIX Corp,8591,"2,292,721",0.08,NA
Hyundai Motor C,5380,"260,399",0.08,NA
Chugai Pharmace,4519,"1,217,221",0.08,NA
Dai-ichi Life H,8750,"1,952,325",0.08,NA
Kubota Corp,6326,"2,034,270",0.08,NA
Legal & General,LGEN,"11,089,099",0.08,NA
Qatar National ,QNBK,"8,283,838",0.08,NA
RELX plc,REN,"1,494,869",0.08,0.00
Delivery Hero S,DHER,"352,018",0.08,NA
Teleperformance,TEP,"108,845",0.08,0.00
